id,lat,lon,user,uid,version,changeset,timestamp
27410657,52.5167754,13.4043756,Krille von Stralau,597190,5,33936215,2015-09-10T15:17:43Z
27410661,52.5158043,13.4056683,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:43Z
27410662,52.5154629,13.4062402,Krille von Stralau,597190,7,33936215,2015-09-10T15:17:43Z
27410664,52.5148014,13.4086742,Krille von Stralau,597190,12,33936215,2015-09-10T15:17:43Z
27411241,52.5223479,13.3990801,nurinfo,209498,6,15184900,2013-02-27T12:31:16Z
27411242,52.5223679,13.3997304,nurinfo,209498,6,15184900,2013-02-27T12:31:16Z
27411258,52.5220903,13.4004372,Elwood,6669,5,21751885,2014-04-17T16:56:08Z
27411995,52.5217932,13.3963739,anbr,43566,7,30313476,2015-04-18T18:43:45Z
27411996,52.5208876,13.3945603,wasat,5453,5,15287508,2013-03-07T21:35:40Z
27411997,52.5203573,13.3931066,wasat,5453,7,15287508,2013-03-07T21:35:40Z
27411998,52.5200919,13.3900307,mapper999,165061,8,14304641,2012-12-17T12:09:23Z
27411999,52.5201977,13.3880872,mapper999,165061,11,14304641,2012-12-17T12:09:23Z
27412000,52.520113,13.3886257,haytigran,360562,11,45776679,2017-02-03T12:15:11Z
27412113,52.5220744,13.3916428,anbr,43566,7,30313476,2015-04-18T18:43:45Z
27412232,52.5203431,13.3871988,Gavaasuren,2144605,17,29780334,2015-03-27T15:32:23Z
27412234,52.5201209,13.3905162,wasat,5453,9,15287508,2013-03-07T21:35:40Z
27412235,52.5202016,13.391774,wasat,5453,9,15287508,2013-03-07T21:35:41Z
27412236,52.520911,13.3848292,mapper999,165061,8,14304641,2012-12-17T12:09:23Z
27412237,52.5211705,13.3838343,mapper999,165061,5,14304641,2012-12-17T12:09:23Z
27412238,52.5205753,13.3861365,bahnpirat,13203,13,35715451,2015-12-02T21:40:16Z
27412300,52.5213851,13.3807686,mapper999,165061,5,14304641,2012-12-17T12:09:23Z
27412301,52.5214138,13.3801356,mapper999,165061,5,14304641,2012-12-17T12:09:23Z
27412303,52.5216134,13.3790297,mapper999,165061,4,14304641,2012-12-17T12:09:23Z
27412304,52.5218091,13.3784481,mapper999,165061,4,14304641,2012-12-17T12:09:23Z
27412305,52.5221792,13.3777176,Polarbear,114161,6,39567349,2016-05-25T21:06:06Z
28842974,52.5224067,13.3878917,hofoen,52797,9,48458731,2017-05-06T18:26:49Z
29058258,52.5216293,13.3880206,tklug,2415107,12,34441489,2015-10-05T06:22:36Z
29058259,52.5148248,13.3891706,tklug,2415107,27,34443128,2015-10-05T08:33:21Z
29063088,52.5135869,13.3801795,anbr,43566,6,34376083,2015-10-01T19:36:40Z
29192281,52.523398,13.3877582,MorbZ,42705,5,34555146,2015-10-10T18:11:20Z
29192539,52.5209939,13.3949251,malcolmh,128186,6,33658525,2015-08-29T07:31:38Z
29192540,52.5205011,13.3956319,Krille von Stralau,597190,4,13590747,2012-10-22T10:08:36Z
29192948,52.5219502,13.3885671,anbr,43566,5,34376083,2015-10-01T19:36:40Z
29192950,52.5220067,13.3925763,Konrad Aust,115651,3,2941879,2009-10-24T21:59:01Z
29192951,52.5217668,13.3934058,rurseekatze,81244,6,6799142,2010-12-29T14:21:16Z
29192953,52.5207868,13.3947638,wasat,5453,4,9438421,2011-09-30T20:16:18Z
29192958,52.5192177,13.3936862,anbr,43566,22,29185491,2015-03-01T20:34:40Z
29192960,52.5200595,13.3919971,gilbert Aeschelmann,714245,16,31929448,2015-06-12T19:05:45Z
29192961,52.5200983,13.3932414,geozeisig,66391,8,10369731,2012-01-12T15:22:50Z
29192964,52.5194932,13.3970189,glibbertorsten,1879543,5,26731790,2014-11-12T10:39:09Z
29192965,52.5192787,13.397239,Elwood,6669,4,3122412,2009-11-15T15:16:40Z
29193449,52.5194189,13.3908216,ericdanielski,2793459,16,47963745,2017-04-20T08:44:06Z
29193456,52.5197423,13.3909968,Bot45715,111462,9,17559555,2013-08-28T18:27:06Z
